parameter_id,IMPC_CSD_028_001
pvalue,0.08683443
mouse_life_stage,Early adult
gene_symbol,Kif24
analysis_id,34n9cf81wro784g
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_name,Snout size
