gene_symbol,Sla2
pvalue,0.4690219
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_id,ESLIM_008_001_013
parameter_name,Startle response
analysis_id,a44ib19x6c1qp79
