gene_symbol,Rap2b
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:1921262
pvalue,0.3025321
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,q57q55is28781xh
