analysis_id,nb1i9yjr247vic2
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:2442483
pvalue,0.7684864
gene_symbol,Usp37
mouse_life_stage,Early adult
