gene_symbol,Extl1
pvalue,0.8565599
mouse_strain,C57BL
analysis_id,u5504p509qo2v1v
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
gene_accession_id,MGI:1888742
