analysis_id,n5946mg061q71zq
gene_accession_id,MGI:1915325
mouse_strain,C57BL
gene_symbol,Lurap1
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.2414918
parameter_id,MGP_PBI_003_001
mouse_life_stage,Early adult
