gene_symbol,Trpa1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
parameter_name,Distance travelled - total
gene_accession_id,MGI:3522699
mouse_strain,C57BL
pvalue,0.4420941
analysis_id,7uu91226752g120
