analysis_id,86752ul797772xc
pvalue,0.532248
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout size
gene_accession_id,MGI:1921688
parameter_id,MGP_CSD_067_001
gene_symbol,Clvs1
