parameter_name,Fructosamine
mouse_life_stage,Early adult
pvalue,0.2452028
parameter_id,IMPC_CBC_020_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
gene_symbol,Sdcbp2
analysis_id,1f0wa8swo4w48y6
