analysis_id,2x5d68q25ow21y1
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9615378
parameter_id,MGP_IMM_014_001
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
