parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:109384
gene_symbol,Atf3
pvalue,0.4796735
mouse_strain,C57BL
analysis_id,2757w805mkx31v5
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
