gene_symbol,Gja10
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
analysis_id,7r73at946pp0b5p
pvalue,0.5539393
