parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
gene_symbol,Arpc5l
pvalue,0.5518246
analysis_id,14347llxehq2220
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
