gene_symbol,Mapkap1
parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
pvalue,0.09593268
analysis_id,2c3d7792865m883
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
