analysis_id,bxpkc8w1tish8bt
mouse_strain,C57BL
gene_accession_id,MGI:1914944
gene_symbol,Ift74
parameter_id,IMPC_IMM_046_001
pvalue,0.8883831
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
