gene_symbol,Pex19
mouse_strain,C57BL
pvalue,0.4797804
analysis_id,54y98ydix8f94s3
mouse_life_stage,E18.5
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1334458
parameter_id,IMPC_HEM_029_001
