gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
pvalue,0.8161565
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_id,MGP_IMM_121_001
analysis_id,68dg2v18atne2c5
