gene_symbol,Ppm1j
parameter_id,IMPC_HEM_039_001
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
analysis_id,x3qfv02e83u49z9
gene_accession_id,MGI:1919137
mouse_strain,C57BL
pvalue,0.4682223
