analysis_id,xxh529ta58926y3
pvalue,0.1081067
mouse_strain,129SV
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
