gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
analysis_id,x280u542ad98047
pvalue,0.2938567
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
