analysis_id,78iez18z7h2z8w5
gene_accession_id,MGI:1915087
pvalue,0.2733293
mouse_life_stage,E9.5
parameter_id,ESLIM_016_001_002
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_name,Red blood cell count
