analysis_id,43s3792z9ua86y2
gene_accession_id,MGI:1913396
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
mouse_strain,C57BL
gene_symbol,Maco1
mouse_life_stage,Early adult
pvalue,0.264579
