analysis_id,315mzu46xtl1568
parameter_name,Number of centre entries
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.520456
gene_symbol,Cds2
parameter_id,ESLIM_007_001_015
mouse_strain,129SV
