parameter_name,Tibia
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.4870699
gene_symbol,Dmap1
analysis_id,6007b042031iqn2
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_025_001
