parameter_name,Shape of ribcage
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.07970627
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
analysis_id,p42prj09027j32u
gene_symbol,Rab22a
