analysis_id,374r5p9663u9lb1
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
pvalue,0.3013216
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_life_stage,Late adult
