gene_symbol,Steap3
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
parameter_name,Thyroxine
pvalue,1.138469
analysis_id,kh5d2dlm28fs117
