parameter_name,Periphery average speed
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_009
pvalue,0.9503083
mouse_strain,C57BL
analysis_id,p75azcx7j5e9dao
