parameter_id,JAXLA_CBC_015_001
mouse_strain,C50BL
analysis_id,b9b5e93lmvz9721
gene_symbol,Pex19
mouse_life_stage,Early adult
gene_accession_id,MGI:1334458
parameter_name,Total cholesterol
pvalue,0.8685193
