analysis_id,wtwmbr8nj89ut20
mouse_life_stage,E9.5
pvalue,0.9057001
mouse_strain,C57BL
parameter_name,Ventral coat/hair presence
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_id,MGP_CSD_025_001
