parameter_name,Neutrophil cell count
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
gene_symbol,Ppm1j
analysis_id,d8c8eppjm75k25m
pvalue,0.4178903
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
