parameter_name,Limb grasping
gene_accession_id,MGI:1929242
mouse_strain,C57BL
analysis_id,d8532shdh034ddf
pvalue,0.4608571
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
gene_symbol,Ivd
