parameter_name,Optic Disc
parameter_id,IMPC_EYE_023_001
analysis_id,7mlmbe13y59p18x
gene_accession_id,MGI:1914583
mouse_strain,C57BL
gene_symbol,Stk35
mouse_life_stage,Early adult
pvalue,0.127169
