analysis_id,5q6eo42j37m7476
parameter_name,12kHz-evoked ABR Threshold
pvalue,0.5890861
mouse_life_stage,Early adult
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,IMPC_ABR_006_001
