parameter_id,CCP_LFO_001_001
parameter_name,Weight
analysis_id,oojh6d2p355xx0n
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6811127
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
