analysis_id,n2br52bif12bay2
pvalue,0.7637204
mouse_life_stage,Early adult
parameter_name,Respiration Rate
gene_accession_id,MGI:1913576
parameter_id,IMPC_ECH_018_001
gene_symbol,Dnajc5b
mouse_strain,C57BL
