analysis_id,w1kae2ij9jn1628
pvalue,0.7611795
parameter_name,Whole arena average speed
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
