analysis_id,77mq78c034kr0kn
pvalue,0.3159538
parameter_name,Time mobile light side
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
gene_symbol,Casq1
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
