gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
analysis_id,rtld2slq069e44r
mouse_life_stage,Early adult
parameter_name,Latency to center entry
pvalue,0.7461094
parameter_id,IMPC_OFD_018_001
