parameter_name,Narrow eye opening
mouse_life_stage,Early adult
pvalue,0.1693085
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
analysis_id,6zx53p12r850588
mouse_strain,C57BL
