parameter_name,Monocyte percentage
mouse_life_stage,Early adult
pvalue,0.4256175
gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:1274787
analysis_id,gj0v1p1t4v482es
