pvalue,0.1432413
mouse_life_stage,Early adult
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
gene_symbol,Kdm4c
mouse_strain,C57BL
analysis_id,lzn4hg73j6ln6dw
gene_accession_id,MGI:1924054
