analysis_id,29hiek5xc7m34ix
gene_accession_id,MGI:105073
parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
pvalue,0.8381671
mouse_strain,C57BL
gene_symbol,Tnni1
mouse_life_stage,Early adult
