analysis_id,b5sk2951y0vf9q4
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
pvalue,0.7576211
parameter_name,lens opacity
mouse_life_stage,Early adult
Mouse_strain,129SV
