analysis_id,u174ia75vy4v9bx
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
pvalue,0.6068524
parameter_name,Coat - color pattern - back
gene_symbol,Hpca
