analysis_id,7rejyl96z98cve1
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
pvalue,0.4059339
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
