mouse_life_stage,Middle aged adult
analysis_id,701o2tv11813jb1
pvalue,0.9207134
parameter_name,Hemorrhage
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1934811
