analysis_id,9n7wfm4m2gue436
gene_symbol,Sema6c
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
pvalue,0.9644158
