parameter_id,GMC_906_001_005
pvalue,0.8260298
mouse_strain,C57BL
gene_accession_id,MGI:1913576
analysis_id,892j41630m34p90
gene_symbol,Dnajc5b
parameter_name,Potassium
mouse_life_stage,Early adult
