parameter_name,Tremor
mouse_life_stage,Early adult
pvalue,0.7808669
analysis_id,bbl16f2p8d9iwrk
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:1918345
gene_symbol,Kif24
