parameter_name,BMC/Body weight
gene_symbol,Kcng1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9297182
analysis_id,sw8fm6v000y339k
gene_accession_id,MGI:3616086
parameter_id,JAXLA_DXA_007_001
