parameter_name,B Cells
mouse_life_stage,Early adult
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
pvalue,0.5098931
analysis_id,5057d938imm35j6
