parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1917604
pvalue,0.08952378
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Late adult
analysis_id,cd3k715883k5xd4
gene_symbol,Secisbp2l
mouse_strain,C57BL
