analysis_id,azwjyganpcpw311
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
pvalue,0.4563577
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
