gene_symbol,Lurap1
analysis_id,52907pza81xhb5o
gene_accession_id,MGI:1915325
pvalue,0.5939507
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
