analysis_id,24c4266wjh84961
parameter_id,IMPC_EYE_017_001
gene_symbol,Snrpb2
parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.6948153
gene_accession_id,MGI:104805
mouse_strain,C57BL
