parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Frmpd1
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.06076818
analysis_id,e48a0tfqp49925j
gene_accession_id,MGI:2446274
