analysis_id,a27z59x8g15n39p
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
mouse_life_stage,Early adult
pvalue,0.1284253
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
mouse_strain,C57BL
