analysis_id,3fe5hk436jdb0m6
mouse_life_stage,Middle aged adult
parameter_name,Monocytes
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1917604
pvalue,0.6271457
