parameter_name,Cleft palate
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
pvalue,0.2189012
analysis_id,u93i3oz01o2kh9b
mouse_life_stage,Early adult
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
