analysis_id,8p64g8228ch8hs5
gene_symbol,Mapkap1
parameter_id,MGP_PBI_012_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.1507388
parameter_name,CD4+ KLRG1+ alpha beta T cell percentage
mouse_life_stage,E12.5
