parameter_name,Periphery permanence time
gene_symbol,Mecom
parameter_id,IMPC_OFD_012_001
analysis_id,3mmy30j88a7495z
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.7098033
