analysis_id,u2eshr1o6rgp2v1
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_id,IMPC_ACS_035_001
pvalue,0.5816278
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,C57BL
