analysis_id,jf774nrjttu2692
pvalue,0.08170966
parameter_id,IMPC_HEM_027_001
gene_symbol,Ift74
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
mouse_strain,C57BL
